datetime,accel_x,accel_y,accel_z,disp_x,disp_y,disp_z,total_displacement
2017-07-09 20:02:52.902481019,0.3266,0.5139,-0.3659,651891.313223994,-275926.0159752688,-513951.1258599152,874781.8072648528
2017-07-09 20:02:53.102434992,1.6611,-0.9259,-1.6239,652079.7145820562,-276008.07964505017,-514123.50434459065,875049.3654179325
2017-07-09 20:02:53.302142024,0.0464,-0.8134,0.2158,652267.8851170397,-276090.07440783427,-514295.6613369672,875316.6001005622
2017-07-09 20:02:53.502328991,0.9223,0.4812,-0.909,652456.5448235759,-276172.2469360424,-514468.2684842311,875584.5202708783
2017-07-09 20:02:53.702329993,0.8481,0.2762,-0.7085,652645.0631977764,-276254.33208142914,-514640.7436272339,875852.2304084054
2017-07-09 20:02:53.902935028,0.2299,-1.1917,-0.5385,652834.1601774434,-276336.7130931013,-514813.7613415389,876120.7842325793
2017-07-09 20:02:54.102362990,0.336,-0.9217,-0.1887,653022.1609721701,-276418.64738216245,-514985.77135948953,876387.7886210392
2017-07-09 20:02:54.302945971,0.8328,0.7397,-0.8408,653211.2841101119,-276501.02644604474,-515158.8114293774,876656.3752735882
2017-07-09 20:02:54.502327978,0.8438,0.2116,-0.7059,653399.308432653,-276582.9038603252,-515330.84349793947,876923.3930215209
2017-07-09 20:02:54.702333986,0.2243,-0.4832,-0.4873,653587.9301828654,-276665.05685351166,-515503.43346423795,877191.271090802
2017-07-09 20:02:54.902432024,0.5038,-1.0235,-0.5442,653776.6588965303,-276747.2886284089,-515676.1246347699,877459.3135863455
2017-07-09 20:02:55.102075994,0.0814,0.9301,-0.2711,653964.9625861984,-276829.29672902863,-515848.4347351497,877726.7453123212
2017-07-09 20:02:55.302093982,2.6556,-0.6189,-2.4198,654153.7252918103,-276911.4832261257,-516021.1644549872,877994.8223202272
2017-07-09 20:02:55.700137019,-0.3482,-0.7332,0.2916,654529.3147412024,-277075.1534975258,-516364.8566498809,878528.2748576266
2017-07-09 20:02:55.900587975,-0.1845,1.1234,0.0035,654718.4508555832,-277157.5312610087,-516537.9368614525,878796.8976063341
2017-07-09 20:02:56.100410997,2.0796,-1.2057,-2.1838,654907.07751776,-277239.6991100458,-516710.56207827496,879064.8075703684
2017-07-09 20:02:56.300346016,-0.715,-0.4161,0.5807,655095.7813201718,-277321.9296457845,-516883.2608353367,879332.8384051846
2017-07-09 20:02:56.500355005,2.5544,-2.0476,-2.6773,655284.6571225529,-277404.27251573384,-517056.1305874198,879601.133723826
2017-07-09 20:02:56.700385987,0.3956,1.0435,-0.0045,655473.569522631,-277486.58268717706,-517229.0195283266,879869.4576790247
2017-07-09 20:02:56.900647997,3.743,-0.7854,-1.9596,655662.8502217181,-277569.0194220322,-517402.18673874054,880138.2599034121
2017-07-09 20:02:57.100657999,-0.8009,-0.5315,0.6286,655851.8606923885,-277651.3736813319,-517575.11089050357,880406.6923269699
2017-07-09 20:02:57.300518989,1.0009,-1.351,-1.7461,656040.7703263252,-277733.72054974077,-517747.97595678456,880675.01296909
2017-07-09 20:02:57.500172972,0.0553,0.7078,-0.0568,656229.4865005354,-277815.95391285664,-517920.66424137115,880943.0501737839
2017-07-09 20:02:57.701807022,1.6333,-0.8682,-1.4866,656420.140670021,-277899.0381225754,-518095.1256004705,881213.8421732093
2017-07-09 20:02:57.901050984,-0.2681,-0.4296,0.5595,656608.5242594676,-277981.15454020037,-518267.49675447494,881481.4091073324
2017-07-09 20:02:58.300089001,0.3387,0.5407,-0.29,656985.865478594,-278145.5279944251,-518612.76113938994,882017.3230717052
